,posteam,down,ydstogo,qtr,week,yardline_100,drive_inside20,play_type,rush_attempt,rusher,rushing_yards,rush_touchdown,pass_attempt,complete_pass,passer,passing_yards,pass_touchdown,receiver,receiving_yards,first_down,touchdown
57,ARI,2.0,10,2,1,19,1.0,pass,0,,,0,1,1,K.Murray,3.0,0,C.Edmonds,3.0,1,0
58,ARI,1.0,8,2,1,8,1.0,run,1,J.Conner,6.0,0,0,0,,,0,,,0,0
59,ARI,2.0,2,2,1,2,1.0,run,1,K.Murray,2.0,1,0,0,,,0,,,1,1
60,TEN,1.0,10,2,1,75,0.0,pass,0,,,0,1,1,R.Tannehill,9.0,0,J.Jones,9.0,0,0
61,TEN,2.0,1,2,1,66,0.0,run,1,,16.0,0,0,0,R.Tannehill,,0,,,1,0
62,TEN,1.0,10,2,1,50,0.0,pass,0,,,0,1,1,R.Tannehill,9.0,0,J.McNichols,9.0,0,0
63,TEN,2.0,1,2,1,41,0.0,pass,0,,,0,1,1,R.Tannehill,4.0,0,A.Firkser,4.0,1,0
64,TEN,1.0,10,2,1,37,0.0,pass,0,,,0,1,1,R.Tannehill,4.0,0,A.Firkser,4.0,0,0
65,TEN,2.0,1,2,1,28,0.0,pass,0,,,0,1,0,R.Tannehill,,0,J.Jones,,0,0
66,TEN,3.0,1,2,1,28,0.0,pass,0,,,0,1,0,R.Tannehill,,0,A.Brown,,0,0
67,ARI,1.0,10,2,1,64,0.0,pass,0,,,0,1,1,K.Murray,12.0,0,R.Moore,12.0,1,0
68,ARI,1.0,10,2,1,52,0.0,pass,0,,,0,1,0,K.Murray,,0,D.Hopkins,,0,0
69,ARI,2.0,10,2,1,52,0.0,pass,0,,,0,1,1,K.Murray,36.0,0,C.Edmonds,36.0,1,0
70,ARI,1.0,10,3,1,84,0.0,run,1,C.Edmonds,4.0,0,0,0,,,0,,,0,0
71,ARI,2.0,6,3,1,80,0.0,pass,0,,,0,1,1,K.Murray,3.0,0,C.Edmonds,3.0,0,0
72,ARI,3.0,3,3,1,77,0.0,pass,0,,,0,1,0,K.Murray,,0,D.Harris,,0,0
73,TEN,1.0,10,3,1,32,1.0,pass,0,,,0,1,1,R.Tannehill,19.0,0,A.Brown,19.0,1,0
74,TEN,1.0,10,3,1,13,1.0,pass,0,,,0,1,1,R.Tannehill,13.0,1,A.Brown,13.0,1,1
75,ARI,1.0,10,3,1,75,0.0,pass,0,,,0,1,1,K.Murray,29.0,0,R.Moore,29.0,1,0
76,ARI,1.0,10,3,1,46,0.0,run,1,C.Edmonds,3.0,0,0,0,,,0,,,0,0
77,ARI,2.0,7,3,1,43,0.0,pass,0,,,0,1,1,K.Murray,10.0,0,D.Hopkins,10.0,1,0
78,ARI,1.0,10,3,1,33,0.0,run,1,J.Conner,7.0,0,0,0,,,0,,,0,0
79,ARI,2.0,3,3,1,26,0.0,pass,0,,,0,1,0,K.Murray,,0,D.Harris,,0,0
80,ARI,3.0,3,3,1,26,0.0,pass,0,,,0,1,1,K.Murray,26.0,1,C.Kirk,26.0,1,1
81,TEN,1.0,15,3,1,80,0.0,pass,0,,,0,1,1,R.Tannehill,9.0,0,C.Rogers,9.0,0,0
82,TEN,2.0,6,3,1,71,0.0,run,1,D.Henry,1.0,0,0,0,,,0,,,0,0
83,TEN,3.0,5,3,1,70,0.0,pass,0,,,0,1,0,R.Tannehill,,0,J.Jones,,0,0
84,ARI,1.0,10,3,1,53,0.0,pass,0,,,0,1,0,K.Murray,,0,D.Hopkins,,0,0
85,ARI,2.0,10,3,1,53,0.0,pass,0,,,0,1,0,K.Murray,,0,A.Green,,0,0
86,ARI,3.0,10,3,1,53,0.0,pass,0,,,0,1,0,K.Murray,,0,,,0,0
87,TEN,1.0,10,3,1,90,0.0,run,1,D.Henry,19.0,0,0,0,,,0,,,1,0
88,TEN,1.0,10,3,1,71,0.0,run,1,D.Henry,4.0,0,0,0,,,0,,,0,0
89,TEN,2.0,6,3,1,67,0.0,run,1,D.Henry,8.0,0,0,0,,,0,,,1,0
90,TEN,1.0,15,3,1,64,0.0,run,1,D.Henry,8.0,0,0,0,,,0,,,0,0
91,TEN,2.0,7,3,1,56,0.0,run,1,D.Henry,-1.0,0,0,0,,,0,,,0,0
92,TEN,3.0,8,3,1,57,0.0,pass,0,,,0,1,0,R.Tannehill,,0,,,0,0
93,ARI,1.0,10,3,1,33,1.0,run,1,C.Edmonds,16.0,0,0,0,,,0,,,1,0
94,ARI,1.0,10,3,1,17,1.0,run,1,J.Conner,4.0,0,0,0,,,0,,,0,0
95,ARI,2.0,6,3,1,13,1.0,run,1,J.Conner,2.0,0,0,0,,,0,,,0,0
96,ARI,3.0,4,3,1,11,1.0,pass,0,,,0,1,1,K.Murray,11.0,1,C.Kirk,11.0,1,1
97,TEN,1.0,10,3,1,75,0.0,pass,0,,,0,1,0,R.Tannehill,,0,C.Rogers,,0,0
98,TEN,2.0,10,3,1,75,0.0,run,1,D.Henry,4.0,0,0,0,,,0,,,0,0
99,TEN,3.0,6,3,1,71,0.0,pass,0,,,0,1,1,R.Tannehill,10.0,0,J.Jones,10.0,1,0
100,TEN,1.0,10,3,1,61,0.0,run,1,D.Henry,7.0,0,0,0,,,0,,,0,0
101,TEN,2.0,3,3,1,54,0.0,pass,0,,,0,1,0,R.Tannehill,,0,A.Brown,,0,0
102,TEN,3.0,3,3,1,54,0.0,pass,0,,,0,1,1,R.Tannehill,5.0,0,A.Brown,5.0,1,0
103,TEN,1.0,10,3,1,49,0.0,pass,0,,,0,1,0,R.Tannehill,,0,N.Westbrook-Ikhine,,0,0
104,TEN,2.0,10,3,1,49,0.0,pass,0,,,0,1,0,R.Tannehill,,0,D.Henry,,0,0
105,TEN,3.0,10,3,1,49,0.0,pass,0,,,0,1,0,R.Tannehill,,0,A.Firkser,,0,0
106,TEN,4.0,10,3,1,49,0.0,pass,0,,,0,1,0,R.Tannehill,,0,,,0,0
107,ARI,1.0,10,3,1,43,0.0,run,1,C.Edmonds,6.0,0,0,0,,,0,,,0,0
108,ARI,2.0,4,4,1,37,0.0,run,1,C.Edmonds,1.0,0,0,0,,,0,,,0,0
109,ARI,3.0,3,4,1,36,0.0,run,1,C.Edmonds,5.0,0,0,0,,,0,,,1,0
110,ARI,1.0,10,4,1,31,0.0,run,1,J.Conner,3.0,0,0,0,,,0,,,0,0
111,ARI,2.0,7,4,1,28,0.0,run,1,J.Conner,2.0,0,0,0,,,0,,,0,0
112,ARI,3.0,5,4,1,26,0.0,run,1,J.Conner,1.0,0,0,0,,,0,,,0,0
113,TEN,1.0,10,4,1,67,0.0,pass,0,,,0,1,1,R.Tannehill,10.0,0,J.Jones,10.0,1,0
114,TEN,1.0,10,4,1,57,0.0,pass,0,,,0,1,1,R.Tannehill,8.0,0,D.Henry,8.0,0,0
115,TEN,2.0,2,4,1,49,0.0,pass,0,,,0,1,1,R.Tannehill,10.0,0,C.Rogers,10.0,1,0
116,TEN,1.0,10,4,1,39,0.0,pass,0,,,0,1,1,R.Tannehill,8.0,0,D.Henry,8.0,0,0
117,TEN,2.0,2,4,1,31,0.0,pass,0,,,0,1,0,R.Tannehill,,0,,,0,0
118,TEN,3.0,12,4,1,41,0.0,pass,0,,,0,1,1,R.Tannehill,7.0,0,J.McNichols,7.0,0,0
119,TEN,4.0,5,4,1,34,0.0,pass,0,,,0,1,0,R.Tannehill,,0,A.Brown,,0,0
120,ARI,1.0,10,4,1,66,0.0,run,1,C.Edmonds,2.0,0,0,0,,,0,,,0,0
121,ARI,2.0,8,4,1,64,0.0,pass,0,,,0,1,1,K.Murray,9.0,0,R.Moore,9.0,1,0
122,ARI,1.0,10,4,1,55,0.0,run,1,J.Conner,6.0,0,0,0,,,0,,,0,0
123,ARI,2.0,9,4,1,54,0.0,run,1,J.Conner,8.0,0,0,0,,,0,,,0,0
124,ARI,3.0,1,4,1,46,0.0,run,1,J.Conner,2.0,0,0,0,,,0,,,1,0
125,ARI,1.0,10,4,1,44,0.0,run,1,J.Conner,1.0,0,0,0,,,0,,,0,0
126,ARI,2.0,9,4,1,43,0.0,run,1,J.Conner,1.0,0,0,0,,,0,,,0,0
127,ARI,3.0,8,4,1,42,0.0,run,1,K.Murray,1.0,0,0,0,,,0,,,0,0
128,TEN,1.0,10,4,1,97,0.0,run,1,J.McNichols,8.0,0,0,0,,,0,,,0,0
129,TEN,2.0,2,4,1,89,0.0,run,1,J.McNichols,1.0,0,0,0,,,0,,,0,0
130,TEN,3.0,1,4,1,88,0.0,run,1,M.Sargent,2.0,0,0,0,,,0,,,1,0
131,LV,1.0,10,1,1,75,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
132,LV,2.0,10,1,1,75,0.0,pass,0,,,0,1,1,D.Carr,9.0,0,A.Ingold,9.0,0,0
133,LV,3.0,1,1,1,66,0.0,run,1,M.Mariota,31.0,0,0,0,,,0,,,1,0
134,LV,1.0,10,1,1,35,0.0,run,1,K.Drake,-1.0,0,0,0,,,0,,,0,0
135,LV,2.0,11,1,1,36,0.0,run,1,,2.0,0,0,0,D.Carr,,0,,,0,0
136,LV,3.0,9,1,1,34,0.0,pass,0,,,0,1,1,D.Carr,13.0,0,D.Waller,13.0,1,0
137,LV,1.0,10,1,1,21,0.0,run,1,J.Jacobs,3.0,0,0,0,,,0,,,0,0
138,LV,1.0,17,1,1,28,0.0,pass,0,,,0,1,0,D.Carr,,0,H.Renfrow,,0,0
139,LV,2.0,17,1,1,28,0.0,pass,0,,,0,1,0,D.Carr,,0,J.Jacobs,,0,0
140,LV,3.0,17,1,1,28,0.0,run,1,D.Carr,0.0,0,0,0,,,0,,,0,0
141,BAL,1.0,10,1,1,92,0.0,run,1,T.Williams,3.0,0,0,0,,,0,,,0,0
142,BAL,2.0,7,1,1,89,0.0,run,1,,18.0,0,0,0,L.Jackson,,0,,,1,0
143,BAL,1.0,10,1,1,71,0.0,pass,0,,,0,1,1,L.Jackson,2.0,0,T.Williams,2.0,0,0
144,BAL,2.0,8,1,1,69,0.0,run,1,,2.0,0,0,0,L.Jackson,,0,,,0,0
145,BAL,3.0,6,1,1,67,0.0,pass,0,,,0,1,1,L.Jackson,8.0,0,S.Watkins,8.0,1,0
146,BAL,1.0,15,1,1,64,0.0,pass,0,,,0,1,0,L.Jackson,,0,M.Andrews,,0,0
147,BAL,2.0,15,1,1,64,0.0,run,1,T.Cannon,2.0,0,0,0,,,0,,,0,0
148,BAL,3.0,13,1,1,62,0.0,pass,0,,,0,1,0,L.Jackson,,0,,,0,0
149,LV,1.0,10,1,1,76,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
150,LV,2.0,10,1,1,76,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
151,LV,3.0,10,1,1,76,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
152,BAL,1.0,10,1,1,65,0.0,pass,0,,,0,1,1,L.Jackson,0.0,0,M.Brown,0.0,0,0
153,BAL,2.0,10,1,1,65,0.0,pass,0,,,0,1,1,L.Jackson,21.0,0,T.Williams,21.0,1,0
154,BAL,1.0,10,1,1,44,0.0,run,1,T.Williams,3.0,0,0,0,,,0,,,0,0
155,BAL,2.0,7,1,1,41,0.0,pass,0,,,0,1,0,L.Jackson,,0,S.Watkins,,0,0
156,BAL,3.0,7,1,1,41,0.0,pass,0,,,0,1,1,L.Jackson,6.0,0,M.Andrews,6.0,0,0
157,BAL,4.0,1,1,1,35,0.0,run,1,T.Williams,35.0,1,0,0,,,0,,,1,1
158,LV,1.0,10,1,1,85,0.0,run,1,J.Jacobs,13.0,0,0,0,,,0,,,1,0
159,LV,1.0,10,1,1,72,0.0,run,1,J.Jacobs,0.0,0,0,0,,,0,,,0,0
160,LV,2.0,10,1,1,72,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
161,LV,3.0,10,1,1,72,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
162,BAL,1.0,10,1,1,80,0.0,pass,0,,,0,1,1,L.Jackson,6.0,0,D.Duvernay,6.0,0,0
163,BAL,2.0,4,2,1,74,0.0,run,1,L.Murray,-3.0,0,0,0,,,0,,,0,0
164,BAL,3.0,7,2,1,77,0.0,pass,0,,,0,1,0,L.Jackson,,0,S.Watkins,,0,0
165,LV,1.0,10,2,1,65,0.0,run,1,J.Jacobs,0.0,0,0,0,,,0,,,0,0
166,LV,2.0,10,2,1,65,0.0,pass,0,,,0,1,1,D.Carr,6.0,0,J.Jacobs,6.0,0,0
167,LV,3.0,10,2,1,65,0.0,pass,0,,,0,1,0,D.Carr,,0,,,0,0
168,BAL,1.0,10,2,1,68,1.0,pass,0,,,0,1,1,L.Jackson,29.0,0,M.Brown,29.0,1,0
169,BAL,1.0,10,2,1,39,1.0,run,1,L.Jackson,0.0,0,0,0,,,0,,,0,0
170,BAL,2.0,14,2,1,43,1.0,pass,0,,,0,1,1,L.Jackson,29.0,0,S.Watkins,29.0,1,0
171,BAL,1.0,10,2,1,14,1.0,pass,0,,,0,1,0,L.Jackson,,0,J.Oliver,,0,0
172,BAL,2.0,10,2,1,14,1.0,run,1,T.Williams,4.0,0,0,0,,,0,,,0,0
173,BAL,3.0,6,2,1,10,1.0,pass,0,,,0,1,1,L.Jackson,10.0,1,M.Brown,10.0,1,1
174,LV,1.0,10,2,1,75,1.0,pass,0,,,0,1,1,D.Carr,5.0,0,A.Ingold,5.0,0,0
175,LV,2.0,5,2,1,70,1.0,pass,0,,,0,1,1,D.Carr,6.0,0,K.Drake,6.0,1,0
176,LV,1.0,10,2,1,64,1.0,pass,0,,,0,1,1,D.Carr,12.0,0,H.Renfrow,12.0,1,0
177,LV,1.0,10,2,1,52,1.0,pass,0,,,0,1,1,D.Carr,9.0,0,D.Waller,9.0,0,0
178,LV,2.0,1,2,1,43,1.0,run,1,K.Drake,0.0,0,0,0,,,0,,,0,0
179,LV,3.0,1,2,1,43,1.0,pass,0,,,0,1,1,D.Carr,24.0,0,D.Waller,24.0,1,0
180,LV,1.0,10,2,1,19,1.0,pass,0,,,0,1,0,D.Carr,,0,H.Ruggs,,0,0
181,LV,2.0,10,2,1,19,1.0,pass,0,,,0,1,1,D.Carr,8.0,0,D.Waller,8.0,0,0
182,LV,1.0,2,2,1,2,1.0,run,1,J.Jacobs,2.0,1,0,0,,,0,,,1,1
183,BAL,1.0,10,2,1,75,0.0,run,1,T.Williams,1.0,0,0,0,,,0,,,0,0
184,BAL,2.0,9,2,1,74,0.0,pass,0,,,0,1,1,L.Jackson,13.0,0,M.Brown,13.0,1,0
185,BAL,1.0,10,2,1,61,0.0,run,1,T.Williams,16.0,0,0,0,,,0,,,1,0
186,BAL,1.0,10,2,1,45,0.0,run,1,L.Murray,3.0,0,0,0,,,0,,,0,0
187,BAL,2.0,7,2,1,42,0.0,pass,0,,,0,1,1,L.Jackson,4.0,0,M.Andrews,4.0,0,0
188,BAL,3.0,3,2,1,38,0.0,run,1,T.Williams,2.0,0,0,0,,,0,,,0,0
189,BAL,4.0,1,2,1,36,0.0,run,1,L.Murray,0.0,0,0,0,,,0,,,0,0
190,LV,1.0,10,2,1,64,1.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
191,LV,2.0,10,2,1,64,1.0,pass,0,,,0,1,1,D.Carr,15.0,0,Z.Jones,15.0,1,0
192,LV,1.0,10,2,1,49,1.0,pass,0,,,0,1,0,D.Carr,,0,H.Renfrow,,0,0
193,LV,2.0,10,2,1,49,1.0,pass,0,,,0,1,0,D.Carr,,0,H.Ruggs,,0,0
194,LV,3.0,10,2,1,49,1.0,pass,0,,,0,1,1,D.Carr,13.0,0,H.Renfrow,13.0,1,0
195,LV,1.0,10,2,1,36,1.0,pass,0,,,0,1,1,D.Carr,7.0,0,H.Renfrow,7.0,0,0
196,LV,2.0,3,2,1,29,1.0,pass,0,,,0,1,0,D.Carr,,0,B.Edwards,,0,0
197,LV,1.0,10,2,1,14,1.0,pass,0,,,0,1,0,D.Carr,,0,,,0,0
198,BAL,1.0,10,3,1,75,0.0,pass,0,,,0,1,1,L.Jackson,10.0,0,M.Andrews,10.0,1,0
199,BAL,1.0,10,3,1,65,0.0,pass,0,,,0,1,0,L.Jackson,,0,D.Duvernay,,0,0
200,BAL,1.0,10,3,1,60,0.0,run,1,L.Murray,4.0,0,0,0,,,0,,,0,0
201,BAL,2.0,6,3,1,56,0.0,pass,0,,,0,1,0,L.Jackson,,0,S.Watkins,,0,0
202,BAL,3.0,6,3,1,56,0.0,pass,0,,,0,1,0,L.Jackson,,0,S.Watkins,,0,0
203,LV,1.0,10,3,1,93,0.0,run,1,J.Jacobs,2.0,0,0,0,,,0,,,0,0
204,LV,2.0,8,3,1,91,0.0,pass,0,,,0,1,0,D.Carr,,0,D.Waller,,0,0
205,LV,3.0,15,3,1,98,0.0,run,1,K.Drake,2.0,0,0,0,,,0,,,0,0
206,BAL,1.0,10,3,1,38,0.0,pass,0,,,0,1,0,L.Jackson,,0,P.Ricard,,0,0
207,BAL,2.0,10,3,1,38,0.0,run,1,,11.0,0,0,0,L.Jackson,,0,,,1,0
208,BAL,1.0,10,3,1,27,0.0,run,1,L.Murray,6.0,0,0,0,,,0,,,0,0
209,BAL,2.0,4,3,1,21,0.0,run,1,T.Williams,-1.0,0,0,0,,,0,,,0,0
210,BAL,3.0,5,3,1,22,0.0,pass,0,,,0,1,0,L.Jackson,,0,T.Williams,,0,0
211,LV,1.0,10,3,1,80,1.0,run,1,D.Carr,4.0,0,0,0,,,0,,,0,0
212,LV,2.0,6,3,1,76,1.0,pass,0,,,0,1,1,D.Carr,4.0,0,K.Drake,4.0,0,0
213,LV,1.0,20,3,1,50,1.0,pass,0,,,0,1,1,D.Carr,12.0,0,K.Drake,12.0,0,0
214,LV,2.0,8,3,1,38,1.0,pass,0,,,0,1,1,D.Carr,16.0,0,D.Waller,16.0,1,0
215,LV,1.0,10,3,1,22,1.0,pass,0,,,0,1,1,D.Carr,2.0,0,D.Waller,2.0,0,0
216,LV,2.0,8,3,1,20,1.0,pass,0,,,0,1,1,D.Carr,3.0,0,A.Ingold,3.0,0,0
217,LV,3.0,5,3,1,17,1.0,pass,0,,,0,1,1,D.Carr,4.0,0,H.Renfrow,4.0,0,0
218,LV,4.0,1,3,1,13,1.0,run,1,J.Jacobs,0.0,0,0,0,,,0,,,0,0
219,BAL,1.0,10,3,1,87,0.0,run,1,L.Jackson,15.0,0,0,0,,,0,,,1,0
220,BAL,1.0,10,3,1,72,0.0,pass,0,,,0,1,1,L.Jackson,6.0,0,T.Williams,6.0,0,0
221,BAL,2.0,4,3,1,66,0.0,run,1,T.Cannon,3.0,0,0,0,,,0,,,0,0
222,BAL,2.0,11,3,1,73,0.0,pass,0,,,0,1,1,L.Jackson,4.0,0,M.Brown,4.0,0,0
223,BAL,3.0,7,3,1,69,0.0,pass,0,,,0,1,0,L.Jackson,,0,,,0,0
224,LV,1.0,10,4,1,59,0.0,pass,0,,,0,1,0,D.Carr,,0,H.Ruggs,,0,0
225,LV,2.0,15,4,1,64,0.0,pass,0,,,0,1,0,D.Carr,,0,,,0,0
226,LV,3.0,28,4,1,77,0.0,pass,0,,,0,1,1,D.Carr,21.0,0,K.Drake,21.0,0,0
227,BAL,1.0,10,4,1,81,0.0,pass,0,,,0,1,1,L.Jackson,13.0,0,M.Brown,13.0,1,0
228,BAL,1.0,10,4,1,68,0.0,run,1,L.Jackson,4.0,0,0,0,,,0,,,0,0
229,BAL,2.0,6,4,1,64,0.0,run,1,,2.0,0,0,0,L.Jackson,,0,,,0,0
230,LV,1.0,10,4,1,41,1.0,pass,0,,,0,1,1,D.Carr,4.0,0,D.Waller,4.0,0,0
231,LV,2.0,6,4,1,37,1.0,pass,0,,,0,1,1,D.Carr,5.0,0,A.Ingold,5.0,0,0
232,LV,3.0,1,4,1,32,1.0,run,1,J.Jacobs,1.0,0,0,0,,,0,,,1,0
233,LV,1.0,10,4,1,31,1.0,pass,0,,,0,1,1,D.Carr,16.0,0,K.Drake,16.0,1,0
234,LV,1.0,10,4,1,15,1.0,run,1,J.Jacobs,15.0,1,0,0,,,0,,,1,1
235,BAL,1.0,10,4,1,75,1.0,run,1,T.Williams,2.0,0,0,0,,,0,,,0,0
236,BAL,2.0,8,4,1,73,1.0,pass,0,,,0,1,1,L.Jackson,6.0,0,P.Ricard,6.0,0,0
237,BAL,3.0,2,4,1,67,1.0,run,1,M.Brown,5.0,0,0,0,,,0,,,1,0
238,BAL,1.0,10,4,1,62,1.0,run,1,L.Murray,5.0,0,0,0,,,0,,,0,0
239,BAL,2.0,5,4,1,57,1.0,pass,0,,,0,1,1,L.Jackson,49.0,0,S.Watkins,49.0,1,0
240,BAL,1.0,8,4,1,8,1.0,run,1,L.Murray,8.0,1,0,0,,,0,,,1,1
241,LV,1.0,10,4,1,75,1.0,pass,0,,,0,1,1,D.Carr,9.0,0,D.Waller,9.0,0,0
242,LV,2.0,1,4,1,66,1.0,run,1,K.Drake,3.0,0,0,0,,,0,,,1,0
