,play_type,posteam,down,ydstogo,qtr,week,yardline_100,drive_inside20,rush_attempt,rusher,rushing_yards,first_down,rush_touchdown
208,run,BAL,1.0,10,3,1,27,0.0,1,L.Murray,6.0,0,0
209,run,BAL,2.0,4,3,1,21,0.0,1,T.Williams,-1.0,0,0
211,run,LV,1.0,10,3,1,80,1.0,1,D.Carr,4.0,0,0
218,run,LV,4.0,1,3,1,13,1.0,1,J.Jacobs,0.0,0,0
219,run,BAL,1.0,10,3,1,87,0.0,1,L.Jackson,15.0,1,0
221,run,BAL,2.0,4,3,1,66,0.0,1,T.Cannon,3.0,0,0
228,run,BAL,1.0,10,4,1,68,0.0,1,L.Jackson,4.0,0,0
229,run,BAL,2.0,6,4,1,64,0.0,1,,2.0,0,0
232,run,LV,3.0,1,4,1,32,1.0,1,J.Jacobs,1.0,1,0
234,run,LV,1.0,10,4,1,15,1.0,1,J.Jacobs,15.0,1,1
235,run,BAL,1.0,10,4,1,75,1.0,1,T.Williams,2.0,0,0
237,run,BAL,3.0,2,4,1,67,1.0,1,M.Brown,5.0,1,0
238,run,BAL,1.0,10,4,1,62,1.0,1,L.Murray,5.0,0,0
240,run,BAL,1.0,8,4,1,8,1.0,1,L.Murray,8.0,1,1
242,run,LV,2.0,1,4,1,66,1.0,1,K.Drake,3.0,1,0
250,run,BAL,1.0,10,4,1,75,0.0,1,L.Jackson,1.0,0,0
252,run,BAL,1.0,10,4,1,65,0.0,1,L.Murray,0.0,0,0
253,run,BAL,2.0,10,4,1,65,0.0,1,,28.0,1,0
254,run,BAL,1.0,10,4,1,37,0.0,1,L.Murray,2.0,0,0
255,run,BAL,2.0,8,4,1,35,0.0,1,L.Jackson,4.0,0,0
256,run,BAL,3.0,4,4,1,31,0.0,1,,2.0,0,0
260,run,LV,1.0,10,5,1,64,1.0,1,J.Jacobs,-2.0,0,0
262,run,LV,1.0,10,5,1,39,1.0,1,K.Drake,6.0,0,0
265,run,LV,1.0,1,5,1,1,1.0,1,D.Carr,0.0,0,0
270,run,BAL,1.0,10,5,1,70,0.0,1,L.Murray,3.0,0,0
273,run,LV,1.0,10,5,1,27,0.0,1,K.Drake,1.0,0,0
276,run,CHI,2.0,6,1,1,53,1.0,1,D.Montgomery,41.0,1,0
277,run,CHI,1.0,10,1,1,12,1.0,1,D.Williams,0.0,0,0
280,run,LA,1.0,10,1,1,80,0.0,1,D.Henderson,6.0,0,0
283,run,CHI,1.0,10,1,1,76,0.0,1,D.Montgomery,14.0,1,0
287,run,CHI,2.0,10,1,1,47,0.0,1,D.Montgomery,2.0,0,0
292,run,LA,1.0,10,1,1,40,0.0,1,M.Stafford,1.0,0,0
295,run,CHI,1.0,10,1,1,75,0.0,1,D.Williams,-3.0,0,0
297,run,CHI,1.0,10,1,1,44,0.0,1,M.Goodwin,-2.0,0,0
302,run,LA,1.0,10,1,1,41,1.0,1,D.Henderson,2.0,0,0
303,run,LA,2.0,8,2,1,39,1.0,1,R.Woods,7.0,0,0
304,run,LA,3.0,1,2,1,32,1.0,1,D.Henderson,0.0,0,0
307,run,LA,1.0,2,2,1,2,1.0,1,D.Henderson,-2.0,0,0
310,run,CHI,1.0,10,2,1,75,0.0,1,D.Montgomery,1.0,0,0
313,run,CHI,2.0,3,2,1,58,0.0,1,D.Montgomery,3.0,1,0
314,run,CHI,1.0,10,2,1,55,0.0,1,D.Williams,5.0,0,0
321,run,CHI,1.0,10,2,1,45,1.0,1,D.Montgomery,10.0,1,0
322,run,CHI,1.0,10,2,1,35,1.0,1,D.Montgomery,3.0,0,0
324,run,CHI,1.0,10,2,1,23,1.0,1,D.Montgomery,3.0,0,0
326,run,CHI,1.0,10,2,1,12,1.0,1,D.Montgomery,0.0,0,0
327,run,CHI,2.0,10,2,1,12,1.0,1,,9.0,0,0
328,run,CHI,3.0,1,2,1,3,1.0,1,D.Montgomery,3.0,1,1
330,run,LA,2.0,10,3,1,75,0.0,1,D.Henderson,0.0,0,0
334,run,CHI,2.0,4,3,1,75,1.0,1,D.Montgomery,1.0,0,0
336,run,CHI,1.0,10,3,1,67,1.0,1,D.Montgomery,6.0,0,0
341,run,CHI,1.0,10,3,1,40,1.0,1,D.Montgomery,4.0,0,0
343,run,CHI,1.0,10,3,1,26,1.0,1,D.Montgomery,4.0,0,0
344,run,CHI,2.0,6,3,1,22,1.0,1,D.Williams,6.0,1,0
346,run,CHI,2.0,9,3,1,15,1.0,1,D.Williams,1.0,0,0
348,run,CHI,1.0,3,3,1,3,1.0,1,J.Fields,3.0,1,1
349,run,LA,1.0,10,3,1,75,1.0,1,D.Henderson,5.0,0,0
356,run,LA,1.0,1,3,1,1,1.0,1,D.Henderson,1.0,1,1
360,run,CHI,2.0,10,3,1,63,0.0,1,D.Montgomery,8.0,0,0
361,run,CHI,3.0,2,4,1,55,0.0,1,D.Montgomery,5.0,1,0
363,run,CHI,2.0,1,4,1,41,0.0,1,,4.0,1,0
365,run,CHI,2.0,1,4,1,28,0.0,1,D.Williams,3.0,1,0
370,run,LA,1.0,10,4,1,70,1.0,1,D.Henderson,5.0,0,0
371,run,LA,2.0,5,4,1,65,1.0,1,D.Henderson,8.0,1,0
372,run,LA,1.0,10,4,1,57,1.0,1,D.Henderson,9.0,1,0
373,run,LA,1.0,10,4,1,33,1.0,1,D.Henderson,5.0,0,0
374,run,LA,2.0,5,4,1,28,1.0,1,D.Henderson,2.0,0,0
377,run,LA,2.0,11,4,1,22,1.0,1,S.Michel,2.0,0,0
378,run,LA,3.0,9,4,1,20,1.0,1,D.Henderson,15.0,1,0
380,run,LA,2.0,5,4,1,5,1.0,1,D.Henderson,3.0,0,0
388,run,LA,1.0,10,4,1,27,1.0,1,D.Henderson,3.0,0,0
389,run,LA,2.0,7,4,1,24,1.0,1,D.Henderson,8.0,1,0
390,run,CLE,1.0,10,1,1,75,1.0,1,N.Chubb,2.0,0,0
392,run,CLE,1.0,10,1,1,65,1.0,1,N.Chubb,6.0,0,0
395,run,CLE,2.0,10,1,1,45,1.0,1,,7.0,0,0
397,run,CLE,1.0,10,1,1,22,1.0,1,N.Chubb,-1.0,0,0
401,run,CLE,1.0,10,1,1,10,1.0,1,N.Chubb,6.0,0,0
402,run,CLE,2.0,4,1,1,4,1.0,1,N.Chubb,4.0,1,1
403,run,CLE,,0,1,1,1,1.0,1,K.Hunt,,0,0
404,run,KC,1.0,10,1,1,81,1.0,1,C.Edwards-Helaire,-2.0,0,0
406,run,KC,1.0,10,1,1,66,1.0,1,C.Edwards-Helaire,4.0,0,0
410,run,KC,1.0,10,1,1,18,1.0,1,T.Hill,4.0,0,0
415,run,CLE,1.0,10,1,1,14,1.0,1,K.Hunt,2.0,0,0
417,run,CLE,3.0,5,2,1,9,1.0,1,K.Hunt,4.0,0,0
418,run,CLE,4.0,1,2,1,5,1.0,1,J.Landry,5.0,1,1
420,run,KC,2.0,2,2,1,67,1.0,1,C.Edwards-Helaire,1.0,0,0
421,run,KC,3.0,1,2,1,66,1.0,1,M.Burton,2.0,1,0
430,run,KC,2.0,5,2,1,5,1.0,1,,5.0,1,1
432,run,CLE,2.0,6,2,1,77,1.0,1,A.Schwartz,17.0,1,0
435,run,CLE,2.0,1,2,1,41,1.0,1,,8.0,1,0
436,run,CLE,1.0,10,2,1,18,1.0,1,N.Chubb,18.0,1,1
442,run,CLE,1.0,10,2,1,99,0.0,1,K.Hunt,5.0,0,0
443,run,CLE,2.0,5,2,1,94,0.0,1,K.Hunt,15.0,1,0
449,run,KC,1.0,10,3,1,75,1.0,1,C.Edwards-Helaire,3.0,0,0
450,run,KC,2.0,7,3,1,72,1.0,1,C.Edwards-Helaire,4.0,0,0
452,run,KC,1.0,10,3,1,62,1.0,1,C.Edwards-Helaire,4.0,0,0
457,run,KC,2.0,10,3,1,39,1.0,1,C.Edwards-Helaire,3.0,0,0
458,run,KC,3.0,7,3,1,36,1.0,1,,8.0,1,0
459,run,KC,1.0,10,3,1,28,1.0,1,C.Edwards-Helaire,9.0,0,0
461,run,KC,1.0,10,3,1,13,1.0,1,,7.0,0,0
463,run,CLE,1.0,10,3,1,75,0.0,1,N.Chubb,6.0,0,0
464,run,CLE,2.0,4,3,1,69,0.0,1,N.Chubb,17.0,1,0
465,run,CLE,1.0,10,3,1,52,0.0,1,N.Chubb,4.0,0,0
466,run,KC,1.0,10,3,1,53,1.0,1,C.Edwards-Helaire,1.0,0,0
468,run,KC,3.0,1,3,1,44,1.0,1,B.Bell,2.0,1,0
469,run,KC,1.0,10,3,1,42,1.0,1,C.Edwards-Helaire,5.0,0,0
472,run,KC,1.0,10,3,1,20,1.0,1,Da.Williams,4.0,0,0
476,run,CLE,1.0,10,4,1,64,1.0,1,N.Chubb,2.0,0,0
478,run,CLE,1.0,10,4,1,53,1.0,1,N.Chubb,6.0,0,0
480,run,CLE,1.0,10,4,1,17,1.0,1,N.Chubb,7.0,0,0
481,run,CLE,2.0,3,4,1,10,1.0,1,N.Chubb,6.0,1,0
482,run,CLE,1.0,4,4,1,4,1.0,1,N.Chubb,2.0,0,0
483,run,CLE,2.0,2,4,1,2,1.0,1,K.Hunt,2.0,1,1
488,run,CLE,4.0,12,4,1,77,0.0,1,J.Gillan,0.0,0,0
489,run,KC,1.0,10,4,1,15,1.0,1,C.Edwards-Helaire,7.0,0,0
490,run,KC,2.0,3,4,1,8,1.0,1,C.Edwards-Helaire,0.0,0,0
494,run,CLE,2.0,5,4,1,70,0.0,1,N.Chubb,-2.0,0,0
496,run,KC,1.0,10,4,1,73,0.0,1,C.Edwards-Helaire,4.0,0,0
499,run,KC,1.0,10,4,1,51,0.0,1,C.Edwards-Helaire,0.0,0,0
502,run,CLE,1.0,10,4,1,83,0.0,1,K.Hunt,5.0,0,0
507,run,TB,1.0,10,1,1,75,0.0,1,L.Fournette,5.0,0,0
508,run,TB,2.0,5,1,1,70,0.0,1,L.Fournette,3.0,0,0
511,run,DAL,1.0,10,1,1,70,0.0,1,E.Elliott,4.0,0,0
513,run,DAL,3.0,1,1,1,61,0.0,1,E.Elliott,2.0,1,0
514,run,DAL,1.0,10,1,1,59,0.0,1,E.Elliott,4.0,0,0
519,run,TB,1.0,10,1,1,94,1.0,1,R.Jones,5.0,0,0
525,run,TB,1.0,10,1,1,16,1.0,1,L.Fournette,3.0,0,0
535,run,TB,1.0,10,1,1,75,0.0,1,R.Jones,3.0,0,0
537,run,TB,1.0,10,1,1,45,0.0,1,R.Jones,5.0,0,0
542,run,DAL,3.0,3,2,1,88,0.0,1,T.Pollard,0.0,0,0
543,run,TB,1.0,10,2,1,50,1.0,1,L.Fournette,2.0,0,0
547,run,TB,1.0,7,2,1,7,1.0,1,L.Fournette,5.0,0,0
555,run,TB,1.0,10,2,1,79,0.0,1,R.Jones,1.0,0,0
556,run,DAL,1.0,10,2,1,27,1.0,1,E.Elliott,2.0,0,0
559,run,DAL,1.0,10,2,1,12,1.0,1,,7.0,0,0
573,run,DAL,3.0,32,2,1,43,0.0,1,,1.0,0,0
581,run,DAL,2.0,4,3,1,48,1.0,1,E.Elliott,0.0,0,0
586,run,DAL,1.0,8,3,1,8,1.0,1,D.Prescott,3.0,0,0
588,run,DAL,3.0,2,3,1,2,1.0,1,E.Elliott,-1.0,0,0
597,run,DAL,1.0,10,3,1,75,0.0,1,E.Elliott,13.0,1,0
599,run,DAL,2.0,3,3,1,55,0.0,1,T.Pollard,3.0,1,0
601,run,DAL,1.0,10,3,1,42,0.0,1,E.Elliott,0.0,0,0
604,run,DAL,1.0,10,3,1,27,0.0,1,,2.0,0,0
605,run,DAL,2.0,8,3,1,25,0.0,1,E.Elliott,4.0,0,0
608,run,TB,1.0,10,4,1,60,0.0,1,L.Fournette,7.0,0,0
611,run,TB,1.0,10,4,1,47,0.0,1,L.Fournette,0.0,0,0
619,run,TB,1.0,10,4,1,47,1.0,1,A.Brown,6.0,0,0
624,run,TB,2.0,7,4,1,20,1.0,1,L.Fournette,6.0,0,0
625,run,TB,3.0,1,4,1,14,1.0,1,L.Fournette,1.0,1,0
627,run,DAL,1.0,10,4,1,90,0.0,1,E.Elliott,1.0,0,0
635,run,DAL,2.0,10,4,1,34,0.0,1,E.Elliott,4.0,0,0
647,run,DAL,1.0,10,4,1,75,0.0,1,T.Pollard,11.0,1,0
648,run,NYG,1.0,10,1,1,77,0.0,1,S.Barkley,5.0,0,0
652,run,NYG,2.0,16,1,1,36,0.0,1,D.Booker,-2.0,0,0
654,run,DEN,1.0,10,1,1,80,0.0,1,M.Gordon,-1.0,0,0
656,run,DEN,1.0,10,1,1,66,0.0,1,M.Gordon,2.0,0,0
657,run,DEN,2.0,8,1,1,64,0.0,1,J.Williams,5.0,0,0
659,run,NYG,1.0,10,1,1,78,0.0,1,S.Barkley,4.0,0,0
664,run,DEN,2.0,3,1,1,47,1.0,1,M.Gordon,2.0,0,0
665,run,DEN,2.0,11,1,1,55,1.0,1,J.Williams,9.0,0,0
667,run,DEN,1.0,10,1,1,40,1.0,1,J.Williams,2.0,0,0
671,run,DEN,1.0,10,1,1,22,1.0,1,M.Gordon,2.0,0,0
674,run,DEN,2.0,10,2,1,11,1.0,1,J.Williams,-2.0,0,0
675,run,DEN,3.0,12,2,1,13,1.0,1,,8.0,0,0
677,run,NYG,1.0,10,2,1,58,0.0,1,S.Barkley,2.0,0,0
680,run,NYG,2.0,4,2,1,44,0.0,1,S.Barkley,-1.0,0,0
684,run,DEN,2.0,5,2,1,70,1.0,1,M.Gordon,7.0,1,0
689,run,DEN,1.0,10,2,1,13,1.0,1,,3.0,0,0
691,run,NYG,1.0,10,2,1,96,0.0,1,D.Booker,1.0,0,0
695,run,DEN,2.0,8,2,1,55,1.0,1,J.Williams,0.0,0,0
701,run,DEN,1.0,10,3,1,75,1.0,1,M.Gordon,5.0,0,0
704,run,DEN,1.0,10,3,1,60,1.0,1,J.Williams,4.0,0,0
708,run,DEN,2.0,10,3,1,50,1.0,1,M.Gordon,6.0,0,0
710,run,DEN,1.0,10,3,1,36,1.0,1,M.Gordon,6.0,0,0
713,run,DEN,1.0,10,3,1,13,1.0,1,J.Williams,2.0,0,0
717,run,NYG,1.0,10,3,1,75,0.0,1,S.Barkley,5.0,0,0
720,run,NYG,1.0,10,3,1,55,0.0,1,S.Barkley,2.0,0,0
725,run,NYG,3.0,2,3,1,25,0.0,1,S.Barkley,3.0,1,0
726,run,NYG,1.0,10,3,1,22,0.0,1,,7.0,0,0
727,run,DEN,1.0,10,3,1,87,1.0,1,M.Gordon,2.0,0,0
730,run,DEN,1.0,10,3,1,63,1.0,1,J.Williams,12.0,1,0
731,run,DEN,1.0,10,3,1,51,1.0,1,J.Williams,3.0,0,0
732,run,DEN,2.0,7,3,1,48,1.0,1,,8.0,1,0
733,run,DEN,1.0,10,4,1,25,1.0,1,M.Gordon,0.0,0,0
736,run,NYG,1.0,10,4,1,75,1.0,1,S.Barkley,3.0,0,0
737,run,NYG,2.0,7,4,1,72,1.0,1,,5.0,1,0
738,run,NYG,1.0,10,4,1,52,1.0,1,D.Booker,2.0,0,0
739,run,NYG,2.0,8,4,1,50,1.0,1,,4.0,0,0
741,run,NYG,4.0,4,4,1,46,1.0,1,,8.0,1,0
742,run,NYG,1.0,10,4,1,38,1.0,1,S.Barkley,2.0,0,0
745,run,NYG,2.0,10,4,1,19,1.0,1,D.Booker,6.0,0,0
747,run,NYG,2.0,7,4,1,7,1.0,1,S.Barkley,1.0,0,0
750,run,DEN,1.0,10,4,1,94,0.0,1,J.Williams,2.0,0,0
751,run,DEN,2.0,8,4,1,92,0.0,1,J.Williams,4.0,0,0
753,run,DEN,1.0,10,4,1,70,0.0,1,M.Gordon,70.0,1,1
761,run,DEN,1.0,10,4,1,79,0.0,1,J.Williams,3.0,0,0
762,run,DEN,2.0,7,4,1,76,0.0,1,J.Williams,-1.0,0,0
763,run,DEN,3.0,8,4,1,77,0.0,1,J.Williams,2.0,0,0
770,run,NYG,1.0,4,4,1,4,1.0,1,D.Jones,4.0,1,1
771,run,NO,1.0,10,1,1,75,0.0,1,A.Kamara,1.0,0,0
773,run,NO,1.0,10,1,1,60,0.0,1,,11.0,1,0
774,run,NO,1.0,10,1,1,49,0.0,1,A.Kamara,5.0,0,0
775,run,NO,2.0,5,1,1,44,0.0,1,,15.0,1,0
776,run,NO,1.0,10,1,1,29,0.0,1,A.Kamara,3.0,0,0
779,run,GB,1.0,10,1,1,75,0.0,1,A.Jones,-1.0,0,0
783,run,GB,1.0,10,1,1,63,0.0,1,A.Jones,1.0,0,0
786,run,NO,1.0,10,1,1,76,1.0,1,A.Kamara,3.0,0,0
787,run,NO,2.0,7,1,1,73,1.0,1,T.Jones,6.0,0,0
788,run,NO,3.0,1,1,1,67,1.0,1,T.Hill,2.0,1,0
790,run,NO,2.0,7,1,1,62,1.0,1,A.Kamara,8.0,1,0
793,run,NO,2.0,10,1,1,37,1.0,1,T.Jones,2.0,0,0
794,run,NO,3.0,8,1,1,35,1.0,1,,10.0,1,0
795,run,NO,1.0,10,1,1,25,1.0,1,T.Jones,5.0,0,0
796,run,NO,2.0,5,1,1,20,1.0,1,A.Kamara,3.0,0,0
798,run,NO,1.0,10,1,1,15,1.0,1,T.Jones,9.0,0,0
801,run,GB,1.0,10,2,1,75,0.0,1,A.Dillon,6.0,0,0
802,run,GB,2.0,4,2,1,69,0.0,1,A.Dillon,6.0,1,0
807,run,NO,2.0,2,2,1,72,1.0,1,T.Jones,5.0,1,0
808,run,NO,1.0,10,2,1,67,1.0,1,T.Jones,9.0,0,0
809,run,NO,2.0,1,2,1,58,1.0,1,T.Jones,3.0,1,0
810,run,NO,1.0,10,2,1,55,1.0,1,A.Kamara,11.0,1,0
811,run,NO,1.0,10,2,1,44,1.0,1,A.Kamara,1.0,0,0
812,run,NO,2.0,14,2,1,48,1.0,1,A.Kamara,1.0,0,0
813,run,NO,3.0,13,2,1,47,1.0,1,A.Kamara,6.0,0,0
815,run,NO,1.0,10,2,1,29,1.0,1,A.Kamara,6.0,0,0
816,run,NO,2.0,4,2,1,23,1.0,1,A.Kamara,14.0,1,0
818,run,NO,2.0,4,2,1,4,1.0,1,A.Kamara,2.0,0,0
819,run,NO,3.0,2,2,1,2,1.0,1,T.Hill,-1.0,0,0
826,run,GB,1.0,10,3,1,70,1.0,1,A.Jones,3.0,0,0
834,run,GB,1.0,10,3,1,12,1.0,1,A.Jones,3.0,0,0
837,run,NO,2.0,4,3,1,54,0.0,1,A.Kamara,3.0,0,0
838,run,NO,3.0,1,3,1,51,0.0,1,J.Winston,2.0,1,0
843,run,GB,2.0,12,3,1,97,0.0,1,A.Dillon,5.0,0,0
845,run,NO,1.0,10,3,1,12,1.0,1,A.Kamara,1.0,0,0
846,run,NO,2.0,9,3,1,11,1.0,1,A.Kamara,1.0,0,0
848,run,GB,1.0,10,3,1,87,0.0,1,A.Jones,3.0,0,0
853,run,NO,2.0,10,3,1,21,1.0,1,A.Kamara,1.0,0,0
854,run,NO,1.0,10,3,1,10,1.0,1,A.Kamara,2.0,0,0
859,run,NO,1.0,10,4,1,66,0.0,1,A.Kamara,7.0,0,0
860,run,NO,2.0,3,4,1,59,0.0,1,A.Kamara,4.0,1,0
861,run,NO,1.0,10,4,1,55,0.0,1,T.Jones,0.0,0,0
863,run,GB,1.0,10,4,1,75,0.0,1,A.Dillon,2.0,0,0
864,run,GB,2.0,8,4,1,73,0.0,1,K.Hill,1.0,0,0
866,run,GB,1.0,10,4,1,53,0.0,1,K.Hill,2.0,0,0
869,run,NO,1.0,10,4,1,84,0.0,1,T.Jones,2.0,0,0
870,run,NO,2.0,8,4,1,82,0.0,1,T.Jones,6.0,0,0
871,run,NO,3.0,12,4,1,86,0.0,1,T.Jones,3.0,0,0
872,run,GB,1.0,10,4,1,63,1.0,1,K.Hill,1.0,0,0
874,run,GB,1.0,10,4,1,30,1.0,1,R.Cobb,1.0,0,0
876,run,GB,3.0,9,4,1,29,1.0,1,K.Hill,8.0,0,0
877,run,GB,4.0,1,4,1,21,1.0,1,K.Hill,2.0,1,0
881,run,HOU,1.0,10,1,1,75,0.0,1,M.Ingram,6.0,0,0
887,run,HOU,1.0,10,1,1,84,1.0,1,M.Ingram,6.0,0,0
888,run,HOU,2.0,4,1,1,78,1.0,1,M.Ingram,5.0,1,0
890,run,HOU,2.0,10,1,1,73,1.0,1,,7.0,0,0
895,run,HOU,1.0,10,1,1,43,1.0,1,M.Ingram,-1.0,0,0
896,run,HOU,2.0,11,1,1,44,1.0,1,D.Johnson,2.0,0,0
899,run,HOU,2.0,2,1,1,2,1.0,1,M.Ingram,1.0,0,0
900,run,HOU,3.0,1,1,1,1,1.0,1,M.Ingram,1.0,1,1
907,run,HOU,1.0,10,1,1,13,1.0,1,M.Ingram,6.0,0,0
912,run,JAX,1.0,10,1,1,64,0.0,1,C.Hyde,4.0,0,0
916,run,JAX,1.0,10,2,1,44,0.0,1,C.Hyde,13.0,1,0
917,run,JAX,1.0,10,2,1,31,0.0,1,C.Hyde,1.0,0,0
