,play_type,posteam,down,ydstogo,qtr,week,yardline_100,drive_inside20,pass_attempt,complete_pass,passer,passing_yards,receiver,receiving_yards,first_down,touchdown
101,pass,TEN,2.0,3,3,1,54,0.0,1,0,R.Tannehill,,A.Brown,,0,0
102,pass,TEN,3.0,3,3,1,54,0.0,1,1,R.Tannehill,5.0,A.Brown,5.0,1,0
103,pass,TEN,1.0,10,3,1,49,0.0,1,0,R.Tannehill,,N.Westbrook-Ikhine,,0,0
104,pass,TEN,2.0,10,3,1,49,0.0,1,0,R.Tannehill,,D.Henry,,0,0
105,pass,TEN,3.0,10,3,1,49,0.0,1,0,R.Tannehill,,A.Firkser,,0,0
106,pass,TEN,4.0,10,3,1,49,0.0,1,0,R.Tannehill,,,,0,0
113,pass,TEN,1.0,10,4,1,67,0.0,1,1,R.Tannehill,10.0,J.Jones,10.0,1,0
114,pass,TEN,1.0,10,4,1,57,0.0,1,1,R.Tannehill,8.0,D.Henry,8.0,0,0
115,pass,TEN,2.0,2,4,1,49,0.0,1,1,R.Tannehill,10.0,C.Rogers,10.0,1,0
116,pass,TEN,1.0,10,4,1,39,0.0,1,1,R.Tannehill,8.0,D.Henry,8.0,0,0
117,pass,TEN,2.0,2,4,1,31,0.0,1,0,R.Tannehill,,,,0,0
118,pass,TEN,3.0,12,4,1,41,0.0,1,1,R.Tannehill,7.0,J.McNichols,7.0,0,0
119,pass,TEN,4.0,5,4,1,34,0.0,1,0,R.Tannehill,,A.Brown,,0,0
121,pass,ARI,2.0,8,4,1,64,0.0,1,1,K.Murray,9.0,R.Moore,9.0,1,0
131,pass,LV,1.0,10,1,1,75,0.0,1,0,D.Carr,,D.Waller,,0,0
132,pass,LV,2.0,10,1,1,75,0.0,1,1,D.Carr,9.0,A.Ingold,9.0,0,0
136,pass,LV,3.0,9,1,1,34,0.0,1,1,D.Carr,13.0,D.Waller,13.0,1,0
138,pass,LV,1.0,17,1,1,28,0.0,1,0,D.Carr,,H.Renfrow,,0,0
139,pass,LV,2.0,17,1,1,28,0.0,1,0,D.Carr,,J.Jacobs,,0,0
143,pass,BAL,1.0,10,1,1,71,0.0,1,1,L.Jackson,2.0,T.Williams,2.0,0,0
145,pass,BAL,3.0,6,1,1,67,0.0,1,1,L.Jackson,8.0,S.Watkins,8.0,1,0
146,pass,BAL,1.0,15,1,1,64,0.0,1,0,L.Jackson,,M.Andrews,,0,0
148,pass,BAL,3.0,13,1,1,62,0.0,1,0,L.Jackson,,,,0,0
149,pass,LV,1.0,10,1,1,76,0.0,1,0,D.Carr,,D.Waller,,0,0
150,pass,LV,2.0,10,1,1,76,0.0,1,0,D.Carr,,D.Waller,,0,0
151,pass,LV,3.0,10,1,1,76,0.0,1,0,D.Carr,,D.Waller,,0,0
152,pass,BAL,1.0,10,1,1,65,0.0,1,1,L.Jackson,0.0,M.Brown,0.0,0,0
153,pass,BAL,2.0,10,1,1,65,0.0,1,1,L.Jackson,21.0,T.Williams,21.0,1,0
155,pass,BAL,2.0,7,1,1,41,0.0,1,0,L.Jackson,,S.Watkins,,0,0
156,pass,BAL,3.0,7,1,1,41,0.0,1,1,L.Jackson,6.0,M.Andrews,6.0,0,0
160,pass,LV,2.0,10,1,1,72,0.0,1,0,D.Carr,,D.Waller,,0,0
161,pass,LV,3.0,10,1,1,72,0.0,1,0,D.Carr,,D.Waller,,0,0
162,pass,BAL,1.0,10,1,1,80,0.0,1,1,L.Jackson,6.0,D.Duvernay,6.0,0,0
164,pass,BAL,3.0,7,2,1,77,0.0,1,0,L.Jackson,,S.Watkins,,0,0
166,pass,LV,2.0,10,2,1,65,0.0,1,1,D.Carr,6.0,J.Jacobs,6.0,0,0
167,pass,LV,3.0,10,2,1,65,0.0,1,0,D.Carr,,,,0,0
168,pass,BAL,1.0,10,2,1,68,1.0,1,1,L.Jackson,29.0,M.Brown,29.0,1,0
170,pass,BAL,2.0,14,2,1,43,1.0,1,1,L.Jackson,29.0,S.Watkins,29.0,1,0
171,pass,BAL,1.0,10,2,1,14,1.0,1,0,L.Jackson,,J.Oliver,,0,0
173,pass,BAL,3.0,6,2,1,10,1.0,1,1,L.Jackson,10.0,M.Brown,10.0,1,1
174,pass,LV,1.0,10,2,1,75,1.0,1,1,D.Carr,5.0,A.Ingold,5.0,0,0
175,pass,LV,2.0,5,2,1,70,1.0,1,1,D.Carr,6.0,K.Drake,6.0,1,0
176,pass,LV,1.0,10,2,1,64,1.0,1,1,D.Carr,12.0,H.Renfrow,12.0,1,0
177,pass,LV,1.0,10,2,1,52,1.0,1,1,D.Carr,9.0,D.Waller,9.0,0,0
179,pass,LV,3.0,1,2,1,43,1.0,1,1,D.Carr,24.0,D.Waller,24.0,1,0
180,pass,LV,1.0,10,2,1,19,1.0,1,0,D.Carr,,H.Ruggs,,0,0
181,pass,LV,2.0,10,2,1,19,1.0,1,1,D.Carr,8.0,D.Waller,8.0,0,0
184,pass,BAL,2.0,9,2,1,74,0.0,1,1,L.Jackson,13.0,M.Brown,13.0,1,0
187,pass,BAL,2.0,7,2,1,42,0.0,1,1,L.Jackson,4.0,M.Andrews,4.0,0,0
190,pass,LV,1.0,10,2,1,64,1.0,1,0,D.Carr,,D.Waller,,0,0
191,pass,LV,2.0,10,2,1,64,1.0,1,1,D.Carr,15.0,Z.Jones,15.0,1,0
192,pass,LV,1.0,10,2,1,49,1.0,1,0,D.Carr,,H.Renfrow,,0,0
193,pass,LV,2.0,10,2,1,49,1.0,1,0,D.Carr,,H.Ruggs,,0,0
194,pass,LV,3.0,10,2,1,49,1.0,1,1,D.Carr,13.0,H.Renfrow,13.0,1,0
195,pass,LV,1.0,10,2,1,36,1.0,1,1,D.Carr,7.0,H.Renfrow,7.0,0,0
196,pass,LV,2.0,3,2,1,29,1.0,1,0,D.Carr,,B.Edwards,,0,0
197,pass,LV,1.0,10,2,1,14,1.0,1,0,D.Carr,,,,0,0
198,pass,BAL,1.0,10,3,1,75,0.0,1,1,L.Jackson,10.0,M.Andrews,10.0,1,0
199,pass,BAL,1.0,10,3,1,65,0.0,1,0,L.Jackson,,D.Duvernay,,0,0
201,pass,BAL,2.0,6,3,1,56,0.0,1,0,L.Jackson,,S.Watkins,,0,0
202,pass,BAL,3.0,6,3,1,56,0.0,1,0,L.Jackson,,S.Watkins,,0,0
204,pass,LV,2.0,8,3,1,91,0.0,1,0,D.Carr,,D.Waller,,0,0
206,pass,BAL,1.0,10,3,1,38,0.0,1,0,L.Jackson,,P.Ricard,,0,0
210,pass,BAL,3.0,5,3,1,22,0.0,1,0,L.Jackson,,T.Williams,,0,0
212,pass,LV,2.0,6,3,1,76,1.0,1,1,D.Carr,4.0,K.Drake,4.0,0,0
213,pass,LV,1.0,20,3,1,50,1.0,1,1,D.Carr,12.0,K.Drake,12.0,0,0
214,pass,LV,2.0,8,3,1,38,1.0,1,1,D.Carr,16.0,D.Waller,16.0,1,0
215,pass,LV,1.0,10,3,1,22,1.0,1,1,D.Carr,2.0,D.Waller,2.0,0,0
216,pass,LV,2.0,8,3,1,20,1.0,1,1,D.Carr,3.0,A.Ingold,3.0,0,0
217,pass,LV,3.0,5,3,1,17,1.0,1,1,D.Carr,4.0,H.Renfrow,4.0,0,0
220,pass,BAL,1.0,10,3,1,72,0.0,1,1,L.Jackson,6.0,T.Williams,6.0,0,0
222,pass,BAL,2.0,11,3,1,73,0.0,1,1,L.Jackson,4.0,M.Brown,4.0,0,0
223,pass,BAL,3.0,7,3,1,69,0.0,1,0,L.Jackson,,,,0,0
224,pass,LV,1.0,10,4,1,59,0.0,1,0,D.Carr,,H.Ruggs,,0,0
225,pass,LV,2.0,15,4,1,64,0.0,1,0,D.Carr,,,,0,0
226,pass,LV,3.0,28,4,1,77,0.0,1,1,D.Carr,21.0,K.Drake,21.0,0,0
227,pass,BAL,1.0,10,4,1,81,0.0,1,1,L.Jackson,13.0,M.Brown,13.0,1,0
230,pass,LV,1.0,10,4,1,41,1.0,1,1,D.Carr,4.0,D.Waller,4.0,0,0
231,pass,LV,2.0,6,4,1,37,1.0,1,1,D.Carr,5.0,A.Ingold,5.0,0,0
233,pass,LV,1.0,10,4,1,31,1.0,1,1,D.Carr,16.0,K.Drake,16.0,1,0
236,pass,BAL,2.0,8,4,1,73,1.0,1,1,L.Jackson,6.0,P.Ricard,6.0,0,0
239,pass,BAL,2.0,5,4,1,57,1.0,1,1,L.Jackson,49.0,S.Watkins,49.0,1,0
241,pass,LV,1.0,10,4,1,75,1.0,1,1,D.Carr,9.0,D.Waller,9.0,0,0
243,pass,LV,1.0,10,4,1,63,1.0,1,1,D.Carr,7.0,H.Renfrow,7.0,0,0
244,pass,LV,2.0,3,4,1,56,1.0,1,1,D.Carr,9.0,H.Ruggs,9.0,1,0
245,pass,LV,1.0,10,4,1,47,1.0,1,0,D.Carr,,D.Waller,,0,0
246,pass,LV,2.0,10,4,1,47,1.0,1,0,D.Carr,,,,0,0
247,pass,LV,3.0,10,4,1,47,1.0,1,1,D.Carr,37.0,H.Ruggs,37.0,1,0
248,pass,LV,1.0,20,4,1,20,1.0,1,1,D.Carr,10.0,D.Waller,10.0,0,0
249,pass,LV,2.0,10,4,1,10,1.0,1,1,D.Carr,10.0,D.Waller,10.0,1,1
251,pass,BAL,2.0,9,4,1,74,0.0,1,1,L.Jackson,9.0,P.Ricard,9.0,1,0
257,pass,LV,1.0,10,4,1,75,0.0,1,1,D.Carr,20.0,B.Edwards,20.0,1,0
258,pass,LV,2.0,10,4,1,55,0.0,1,1,D.Carr,18.0,B.Edwards,18.0,1,0
259,pass,LV,1.0,10,5,1,75,1.0,1,1,D.Carr,11.0,B.Edwards,11.0,1,0
261,pass,LV,2.0,12,5,1,66,1.0,1,1,D.Carr,27.0,H.Renfrow,27.0,1,0
263,pass,LV,2.0,4,5,1,33,1.0,1,0,D.Carr,,,,0,0
264,pass,LV,3.0,4,5,1,33,1.0,1,1,D.Carr,32.0,B.Edwards,32.0,1,0
266,pass,LV,2.0,5,5,1,5,1.0,1,0,D.Carr,,H.Renfrow,,0,0
267,pass,LV,3.0,5,5,1,5,1.0,1,0,D.Carr,,W.Snead,,0,0
268,pass,BAL,1.0,10,5,1,80,0.0,1,0,L.Jackson,,,,0,0
269,pass,BAL,2.0,10,5,1,80,0.0,1,1,L.Jackson,10.0,S.Watkins,10.0,1,0
271,pass,BAL,2.0,7,5,1,67,0.0,1,0,L.Jackson,,M.Andrews,,0,0
272,pass,BAL,3.0,7,5,1,67,0.0,1,0,L.Jackson,,,,0,0
274,pass,LV,2.0,14,5,1,31,0.0,1,1,D.Carr,31.0,Z.Jones,31.0,1,1
275,pass,CHI,1.0,10,1,1,57,1.0,1,1,A.Dalton,4.0,D.Mooney,4.0,0,0
278,pass,CHI,2.0,10,1,1,12,1.0,1,1,J.Fields,9.0,M.Goodwin,9.0,0,0
279,pass,CHI,3.0,6,1,1,8,1.0,1,0,A.Dalton,,D.Mooney,,0,0
281,pass,LA,2.0,4,1,1,74,0.0,1,1,M.Stafford,7.0,T.Higbee,7.0,1,0
282,pass,LA,1.0,10,1,1,67,0.0,1,1,M.Stafford,67.0,V.Jefferson,67.0,1,1
284,pass,CHI,1.0,10,1,1,62,0.0,1,1,A.Dalton,5.0,A.Robinson,5.0,0,0
285,pass,CHI,2.0,5,1,1,57,0.0,1,1,A.Dalton,10.0,C.Kmet,10.0,1,0
286,pass,CHI,1.0,10,1,1,47,0.0,1,0,A.Dalton,,A.Robinson,,0,0
288,pass,CHI,3.0,8,1,1,45,0.0,1,1,A.Dalton,4.0,D.Williams,4.0,0,0
289,pass,CHI,4.0,4,1,1,41,0.0,1,0,A.Dalton,,A.Robinson,,0,0
290,pass,LA,1.0,10,1,1,59,0.0,1,1,M.Stafford,1.0,C.Kupp,1.0,0,0
291,pass,LA,2.0,9,1,1,58,0.0,1,1,M.Stafford,18.0,D.Jackson,18.0,1,0
293,pass,LA,2.0,9,1,1,39,0.0,1,1,M.Stafford,4.0,C.Kupp,4.0,0,0
294,pass,LA,3.0,5,1,1,35,0.0,1,0,M.Stafford,,V.Jefferson,,0,0
296,pass,CHI,2.0,13,1,1,78,0.0,1,1,A.Dalton,19.0,M.Goodwin,19.0,1,0
298,pass,CHI,2.0,12,1,1,46,0.0,1,1,A.Dalton,-2.0,D.Mooney,-2.0,0,0
299,pass,CHI,3.0,14,1,1,48,0.0,1,1,A.Dalton,10.0,D.Byrd,10.0,0,0
300,pass,CHI,4.0,4,1,1,38,0.0,1,0,A.Dalton,,,,0,0
301,pass,LA,1.0,10,1,1,58,1.0,1,1,M.Stafford,17.0,T.Higbee,17.0,1,0
305,pass,LA,4.0,1,2,1,32,1.0,1,1,M.Stafford,13.0,V.Jefferson,13.0,1,0
306,pass,LA,1.0,10,2,1,19,1.0,1,1,M.Stafford,17.0,D.Henderson,17.0,1,0
308,pass,LA,2.0,4,2,1,4,1.0,1,0,M.Stafford,,C.Kupp,,0,0
309,pass,LA,3.0,4,2,1,4,1.0,1,0,M.Stafford,,R.Woods,,0,0
311,pass,CHI,2.0,9,2,1,74,0.0,1,1,A.Dalton,9.0,D.Mooney,9.0,1,0
312,pass,CHI,1.0,10,2,1,65,0.0,1,1,A.Dalton,7.0,M.Goodwin,7.0,0,0
315,pass,CHI,2.0,5,2,1,50,0.0,1,1,A.Dalton,3.0,D.Byrd,3.0,0,0
316,pass,CHI,3.0,2,2,1,47,0.0,1,0,A.Dalton,,A.Robinson,,0,0
317,pass,LA,1.0,10,2,1,89,0.0,1,1,M.Stafford,1.0,T.Higbee,1.0,0,0
318,pass,LA,2.0,9,2,1,88,0.0,1,0,M.Stafford,,,,0,0
319,pass,LA,3.0,19,2,1,98,0.0,1,1,M.Stafford,6.0,R.Woods,6.0,0,0
320,pass,CHI,1.0,10,2,1,55,1.0,1,1,A.Dalton,10.0,C.Kmet,10.0,1,0
323,pass,CHI,2.0,7,2,1,32,1.0,1,1,A.Dalton,9.0,A.Robinson,9.0,1,0
325,pass,CHI,2.0,7,2,1,20,1.0,1,1,A.Dalton,8.0,A.Robinson,8.0,1,0
329,pass,LA,1.0,10,3,1,75,0.0,1,0,M.Stafford,,C.Kupp,,0,0
331,pass,LA,3.0,10,3,1,75,0.0,1,1,M.Stafford,19.0,R.Woods,19.0,1,0
332,pass,LA,1.0,10,3,1,56,0.0,1,1,M.Stafford,56.0,C.Kupp,56.0,1,1
333,pass,CHI,1.0,10,3,1,81,1.0,1,1,A.Dalton,6.0,D.Mooney,6.0,0,0
335,pass,CHI,3.0,3,3,1,74,1.0,1,1,A.Dalton,7.0,A.Robinson,7.0,1,0
337,pass,CHI,2.0,4,3,1,61,1.0,1,1,A.Dalton,10.0,D.Montgomery,10.0,1,0
338,pass,CHI,1.0,10,3,1,51,1.0,1,0,A.Dalton,,C.Kmet,,0,0
339,pass,CHI,2.0,10,3,1,51,1.0,1,1,A.Dalton,8.0,D.Williams,8.0,0,0
340,pass,CHI,3.0,2,3,1,43,1.0,1,1,A.Dalton,3.0,C.Kmet,3.0,1,0
342,pass,CHI,2.0,6,3,1,36,1.0,1,1,A.Dalton,10.0,M.Goodwin,10.0,1,0
345,pass,CHI,1.0,10,3,1,16,1.0,1,1,J.Fields,1.0,A.Robinson,1.0,0,0
347,pass,CHI,3.0,8,3,1,14,1.0,1,1,A.Dalton,11.0,J.Graham,11.0,1,0
350,pass,LA,2.0,5,3,1,70,1.0,1,0,M.Stafford,,C.Kupp,,0,0
351,pass,LA,3.0,5,3,1,70,1.0,1,1,M.Stafford,6.0,T.Higbee,6.0,1,0
352,pass,LA,1.0,10,3,1,64,1.0,1,1,M.Stafford,37.0,T.Higbee,37.0,1,0
353,pass,LA,1.0,10,3,1,27,1.0,1,1,M.Stafford,3.0,D.Jackson,3.0,0,0
354,pass,LA,2.0,7,3,1,24,1.0,1,1,M.Stafford,6.0,C.Kupp,6.0,0,0
355,pass,LA,3.0,1,3,1,18,1.0,1,1,M.Stafford,17.0,C.Kupp,17.0,1,0
357,pass,CHI,1.0,10,3,1,79,0.0,1,1,A.Dalton,5.0,D.Williams,5.0,0,0
358,pass,CHI,2.0,5,3,1,74,0.0,1,1,A.Dalton,11.0,D.Williams,11.0,1,0
359,pass,CHI,1.0,10,3,1,63,0.0,1,0,A.Dalton,,A.Robinson,,0,0
362,pass,CHI,1.0,10,4,1,50,0.0,1,1,A.Dalton,9.0,D.Mooney,9.0,0,0
364,pass,CHI,1.0,10,4,1,37,0.0,1,1,A.Dalton,9.0,C.Kmet,9.0,0,0
366,pass,CHI,1.0,10,4,1,25,0.0,1,0,A.Dalton,,,,0,0
367,pass,CHI,2.0,25,4,1,40,0.0,1,0,A.Dalton,,C.Kmet,,0,0
368,pass,CHI,3.0,25,4,1,40,0.0,1,1,A.Dalton,10.0,C.Kmet,10.0,0,0
369,pass,CHI,4.0,15,4,1,30,0.0,1,0,A.Dalton,,D.Mooney,,0,0
375,pass,LA,3.0,13,4,1,36,1.0,1,1,M.Stafford,15.0,C.Kupp,15.0,1,0
376,pass,LA,1.0,20,4,1,31,1.0,1,1,M.Stafford,9.0,C.Kupp,9.0,0,0
379,pass,LA,1.0,5,4,1,5,1.0,1,0,M.Stafford,,T.Higbee,,0,0
381,pass,LA,3.0,2,4,1,2,1.0,1,1,M.Stafford,2.0,R.Woods,2.0,1,1
382,pass,CHI,1.0,10,4,1,75,0.0,1,1,A.Dalton,5.0,A.Robinson,5.0,0,0
383,pass,CHI,2.0,5,4,1,70,0.0,1,1,A.Dalton,6.0,D.Byrd,6.0,1,0
384,pass,CHI,1.0,10,4,1,64,0.0,1,0,A.Dalton,,A.Robinson,,0,0
385,pass,CHI,2.0,10,4,1,64,0.0,1,0,A.Dalton,,D.Williams,,0,0
386,pass,CHI,3.0,10,4,1,64,0.0,1,0,A.Dalton,,J.Graham,,0,0
387,pass,CHI,4.0,10,4,1,64,0.0,1,0,A.Dalton,,,,0,0
391,pass,CLE,2.0,8,1,1,73,1.0,1,1,B.Mayfield,8.0,N.Chubb,8.0,1,0
393,pass,CLE,2.0,4,1,1,59,1.0,1,1,B.Mayfield,14.0,A.Hooper,14.0,1,0
394,pass,CLE,1.0,10,1,1,45,1.0,1,0,B.Mayfield,,A.Janovich,,0,0
396,pass,CLE,3.0,3,1,1,38,1.0,1,1,B.Mayfield,16.0,A.Schwartz,16.0,1,0
398,pass,CLE,2.0,11,1,1,23,1.0,1,0,B.Mayfield,,D.Njoku,,0,0
399,pass,CLE,3.0,11,1,1,23,1.0,1,1,B.Mayfield,8.0,A.Hooper,8.0,0,0
400,pass,CLE,4.0,3,1,1,15,1.0,1,1,B.Mayfield,5.0,A.Hooper,5.0,1,0
405,pass,KC,2.0,12,1,1,83,1.0,1,1,P.Mahomes,17.0,T.Kelce,17.0,1,0
407,pass,KC,2.0,6,1,1,62,1.0,1,1,P.Mahomes,9.0,T.Kelce,9.0,1,0
408,pass,KC,1.0,10,1,1,53,1.0,1,1,P.Mahomes,11.0,C.Edwards-Helaire,11.0,1,0
409,pass,KC,1.0,10,1,1,42,1.0,1,1,P.Mahomes,24.0,T.Hill,24.0,1,0
411,pass,KC,2.0,6,1,1,14,1.0,1,0,P.Mahomes,,T.Hill,,0,0
412,pass,KC,3.0,11,1,1,19,1.0,1,1,P.Mahomes,9.0,D.Robinson,9.0,0,0
413,pass,CLE,1.0,10,1,1,75,1.0,1,1,B.Mayfield,44.0,A.Schwartz,44.0,1,0
414,pass,CLE,1.0,10,1,1,31,1.0,1,1,B.Mayfield,17.0,H.Bryant,17.0,1,0
416,pass,CLE,2.0,8,2,1,12,1.0,1,1,B.Mayfield,3.0,D.Njoku,3.0,0,0
419,pass,KC,1.0,10,2,1,75,1.0,1,1,P.Mahomes,8.0,T.Hill,8.0,0,0
422,pass,KC,1.0,10,2,1,64,1.0,1,1,P.Mahomes,-6.0,T.Hill,-6.0,0,0
423,pass,KC,2.0,11,2,1,65,1.0,1,1,P.Mahomes,4.0,M.Hardman,4.0,0,0
424,pass,KC,3.0,7,2,1,61,1.0,1,1,P.Mahomes,11.0,T.Hill,11.0,1,0
425,pass,KC,1.0,10,2,1,50,1.0,1,0,P.Mahomes,,T.Hill,,0,0
426,pass,KC,2.0,10,2,1,50,1.0,1,1,P.Mahomes,6.0,B.Pringle,6.0,0,0
427,pass,KC,3.0,4,2,1,44,1.0,1,1,P.Mahomes,22.0,T.Hill,22.0,1,0
428,pass,KC,1.0,10,2,1,22,1.0,1,1,P.Mahomes,19.0,T.Kelce,19.0,1,0
429,pass,KC,1.0,3,2,1,3,1.0,1,1,P.Mahomes,-2.0,M.Remmers,-2.0,0,0
431,pass,CLE,1.0,15,2,1,86,1.0,1,1,B.Mayfield,9.0,A.Schwartz,9.0,0,0
433,pass,CLE,1.0,10,2,1,60,1.0,1,1,B.Mayfield,10.0,N.Chubb,10.0,1,0
434,pass,CLE,1.0,10,2,1,50,1.0,1,1,B.Mayfield,9.0,J.Landry,9.0,0,0
437,pass,KC,1.0,10,2,1,82,0.0,1,1,P.Mahomes,9.0,T.Hill,9.0,0,0
438,pass,KC,2.0,1,2,1,73,0.0,1,1,P.Mahomes,28.0,T.Hill,28.0,1,0
439,pass,KC,1.0,10,2,1,45,0.0,1,0,P.Mahomes,,,,0,0
